pic number,num of words,dynamic,word_segment
4,13,5,11
5,11,11,11
6,10,10,10
7,11,11,11
8,12,7,10
9,6,6,6
12,10,10,9
13,10,8,10
14,10,7,9
15,10,9,10
16,11,11,11
17,10,10,8
18,9,9,9
20,13,10,11
21,8,8,8
22,13,13,13
23,11,10,11
24,11,11,11
25,7,7,7
26,10,8,10
27,10,8,10
3,7,6,3
4,9,9,6
5,8,7,5
8,9,4,6
9,8,8,3
10,9,9,3
11,9,5,4
12,3,2,3
15,8,5,4
16,9,7,8
17,8,6,5
18,10,9,10
19,5,3,4
22,8,7,5
23,8,8,6
24,9,7,5
25,9,9,7
26,8,8,7
27,9,9,7
28,5,4,3
4,9,9,7
5,11,11,11
6,12,10,12
7,11,11,10
8,7,7,7
11,13,10,9
12,13,13,13
13,13,3,13
14,11,11,11
16,4,3,1
20,12,12,10
22,11,11,11
24,11,11,11
26,13,13,13
28,1,0,0
30,12,10,12
31,10,10,10
32,12,11,12
33,11,11,11
34,9,8,9
3,8,7,8
4,9,9,9
5,9,9,7
6,9,9,9
7,8,8,8
8,7,7,7
9,8,8,8
10,10,10,10
11,3,3,3
14,8,6,6
15,10,10,10
16,7,6,6
17,8,8,6
18,8,7,6
19,7,7,7
20,7,7,7
21,8,7,7
22,7,6,5
23,9,9,9
24,9,7,9
25,8,6,8
26,4,3,4
